paper_id,title,year,manufacturing_domain,rl_method,baseline,kpis,notes,statistical_testing,deployment_status,code_available,simulator_available
RL-JSSP-2020,Deep Reinforcement Learning for Flexible Job Shop Scheduling,2020,Flexible job shop,CNN-enhanced deep RL,"SPT, ATC, tabu search","makespan, weighted tardiness","Taillard + real-world case; simulation only.","paired t-test vs heuristics","Simulation only","No","Taillard benchmark"
RL-GNN-2021,Graph Attention Reinforcement Learning for Generalizable Job Shop Scheduling,2021,Job shop,Graph attention actor-critic,"SPT, EDD, priority dispatch","makespan, generalization gap","Demonstrates zero-shot transfer when job count varies.","none reported","Simulation only","No","Custom simulator"
RL-MARL-2021,Cooperative Multi-Agent Deep Reinforcement Learning for Flexible Flow-Shop Scheduling,2021,Flexible flow shop,Cooperative MARL policy gradients,"Dispatching rules (FIFO, ATC)","average flow time, throughput","Evaluated under varying buffer capacities.","none reported","Simulation only","No","Custom simulator"
RL-PPO-2022,Adaptive Flexible Job-Shop Scheduling via Proximal Policy Optimization,2022,Flexible job shop,PPO actor-critic,"ATC, GA, MILP (small instances)","tardiness, rush order response time","Incorporates resource calendars and changeover costs.","Wilcoxon signed-rank","Simulation only","No","Custom simulator"
RL-HYBRID-2023,Hybrid Reinforcement Learning and Constraint Programming for Flexible Job-Shop Scheduling,2023,Flexible job shop,RL policy + CP-SAT refinement,CP-SAT only,"makespan, feasibility rate","RL proposes machine assignments; OR ensures constraint satisfaction.","paired t-test","Simulation only","No","CP-SAT model only"
RL-ENERGY-2021,Energy-Aware Production Scheduling Using Deep Reinforcement Learning,2021,Flow shop energy-aware,Dueling DQN,"rule-based energy shedding","energy consumption, makespan","Considers time-of-use tariffs; maintains throughput within 2%.","none reported","Simulation only","No","Proprietary simulator"
RL-MAINT-2022,Joint Scheduling and Predictive Maintenance via Multi-Objective Reinforcement Learning,2022,Assembly/flow line,Multi-objective RL (policy gradient),"deterministic maintenance scheduler","downtime, throughput, mean time between failures","Adds machine health signals to state; tested on digital twin.","none reported","Digital twin only","No","Digital twin (private)"
RL-SEMICON-2020,Deep Reinforcement Learning for Wafer Lot Scheduling in Semiconductor Fabs,2020,Semiconductor fab,Double DQN,"dispatching heuristics, MILP (small cases)","cycle time, throughput, WIP","Evaluated on 300mm fab model with re-entrant flow.","paired t-test","Simulation only","No","Proprietary fab model"
RL-HFLOW-2021,Hierarchical Reinforcement Learning for Hybrid Flow Shop Scheduling,2021,Hybrid flow shop,Hierarchical RL (options+policies),"SPT, NEH, genetic algorithm","makespan, tardiness","Stage-level manager allocates buffers; sub-policies choose machines.","ANOVA on makespan","Simulation only","No","Custom simulator"
RL-MARL-ROBUST-2022,Robust Multi-Agent Reinforcement Learning for Disturbed Job Shops,2022,Job shop (disturbed),Decentralized MARL with resilience bonuses,"ATC, robust tabu search","makespan, recovery time","Includes machine breakdown scenarios and re-training triggers.","none reported","Simulation only","No","Custom simulator"
RL-ENERGY-2023B,PPO-LSTM for Energy-Aware Flexible Job Shops,2023,Flexible job shop,PPO-LSTM,"EDD, rule-based energy throttling","energy consumption, tardiness","LSTM captures demand response signals for hourly tariffs.","confidence intervals reported","Simulation only","No","Custom simulator"
RL-SEMICON-MARL-2022,Decentralized RL for Wafer Handling and Scheduling,2022,Semiconductor fab,Multi-agent actor-critic,"dispatching rules, petri-net scheduler","throughput, transport utilization","Cluster-tool agents coordinate wafer transfers.","none reported","Simulation only","No","Petri-net simulator (private)"
RL-BATCH-2021,Batching-aware RL for Pharmaceutical Production Scheduling,2021,Batch process,Actor-critic with batching constraints,"MILP baseline, heuristic batching","batch makespan, service level","Reward penalizes partial batches and changeovers.","paired t-test","Simulation only","No","Custom batch simulator"
RL-FLEXSIM-2024,Graph RL with Digital Twin Feedback for Battery Production,2024,F flexible line (battery),Graph RL (message passing),"simulation-optimized dispatching","throughput, buffer stability","Policy trained in FlexSim digital twin and validated on pilot line.","none reported","Pilot line (HIL)","Partial (contact author)","FlexSim model (private)"
RL-MULTIOBJ-2023,Hybrid Multi-Objective RL and Evolutionary Optimization for Flow Shops,2023,Flow shop,Actor-critic + NSGA-II,"NSGA-II alone, weighted-sum heuristics","makespan, energy, tardiness","Actor provides warm starts for NSGA-II to refine Pareto front.","statistical dominance tests","Simulation only","No","Public benchmark data"
RL-SEMICON-2023,Policy Gradient Scheduling in EUV Lithography,2023,Semiconductor fab (EUV),Policy gradient with feature shaping,"dispatching heuristics, MILP","cycle time, energy","Addresses EUV scanner bottlenecks with policy gradient.","paired t-test","Simulation only","No","Proprietary EUV simulator"
RL-MARL-ENERGY-2022,Multi-Agent RL for Microgrid-Integrated Factories,2022,Flexible flow shop (microgrid),Multi-agent SAC,"heuristic microgrid controller","energy consumption, throughput","Agents coordinate production and microgrid storage.","confidence bands","Simulation only","No","Co-simulation (MATLAB/Simulink)"
RL-FLEX-2024B,Continual RL for Flexible Job Shops with Human-in-the-Loop,2024,Flexible job shop,Continual learning PPO + human feedback,"ATC, human experts","makespan, operator satisfaction","Human preference data guides policy updates.","none reported","Pilot deployment (shadow mode)","No","Custom simulator"
RL-SEMICON-TRANSFER-2023,Transfer RL for Multi-Fab Scheduling,2023,Semiconductor fab,Transfer learning with attention,"dispatch rules across fabs","cycle time, throughput","Pre-trained on Fab A, fine-tuned on Fab B.","paired t-test","Simulation only","No","Multiple fab models (private)"
RL-MANUF-2024,Hierarchical RL for Aerospace Assembly Lines,2024,Aerospace assembly,Hierarchical actor-critic,"Rule-based scheduling","throughput, takt compliance","Large-scale assembly line with multiple zones.","none reported","Simulation only","No","Digital twin (private)"
RL-ROBOTCELL-2023,RL Dispatching in Collaborative Robot Cells,2023,Robot cell,Actor-critic with shared resources,"rule-based robot scheduling","cycle time, collision risk","Focus on collaborative robot cells with shared fixtures.","none reported","Simulation only","No","Robot cell simulator"
RL-ENERGY-SEMICON-2022,Energy-Optimal Wafer Scheduling via SAC,2022,Semiconductor fab SAC,"energy-aware heuristics","energy consumption, cycle time","Adds energy tariffs to wafer scheduling in fabs.","none reported","Simulation only","No","Fab energy simulator"
RL-BEV-2023,RL for Battery EV Module Scheduling with Multi-Objective KPIs,2023,Battery EV module line,Multi-objective actor-critic,"weighted heuristics","makespan, energy, quality","Optimizes EV module assembly considering quality metrics.","statistical dominance tests","Simulation only","No","FlexSim module (private)"
RL-SEMICON-2024,Graph RL for Multi-Cluster Semiconductor Scheduling,2024,Semiconductor fab,Graph RL with attention,"dispatch heuristics, MILP","cycle time, transport utilization","Graph policy coordinates multiple cluster tools.","paired t-test","Simulation only","No","Proprietary fab model"
RL-HYBRID-2024,Multi-Objective Hierarchical RL for Hybrid Flow Shops,2024,Hybrid flow shop,Hierarchical multi-objective RL,"NSGA-II, weighted heuristics","makespan, energy, robustness","Combines stage-level manager with energy/robustness rewards.","statistical dominance tests","Simulation only","No","Custom simulator"
RL-FLEX-2025,Transferable RL for Flexible Aerospace Cells,2025,Aerospace flexible cell,Transfer learning actor-critic,"human schedulers, ATC","throughput, takt compliance","Transfer across aerospace cells with human feedback.","none reported","Pilot line (shadow mode)","No","Digital twin (private)"
RL-MICROGRID-2024,Energy-and-Carbon RL for Microgrid Manufacturing,2024,Flexible flow shop (microgrid),Multi-objective SAC,"heuristic microgrid control","energy, carbon, throughput","Adds carbon pricing to microgrid scheduling.","confidence intervals","Simulation only","No","Co-simulation (MATLAB/Simulink)"
RL-SEMICON-2025,Self-Play RL for EUV Scheduling,2025,Semiconductor fab (EUV),Self-play PPO,"dispatch heuristics","cycle time, energy","Self-play between virtual schedulers.","paired t-test","Simulation only","No","Proprietary EUV simulator"
RL-BATCH-2024,RL for Continuous Pharma Batching,2024,Continuous batch,Policy gradient with constraints,"MILP, heuristics","batch makespan, quality","Continuous pharma process with RL control.","none reported","Simulation only","No","Custom batch simulator"
RL-SEMICON-MULTIOBJ-2024,Multi-Objective RL for Wafer Lot and Energy,2024,Semiconductor fab,Multi-objective actor-critic,"heuristics, weighted sums","cycle time, energy","Energy + cycle-time optimization in fabs.","statistical dominance tests","Simulation only","No","Proprietary fab model"
RL-FLEXSIM-2025,Reinforcement Learning with Real-Time Digital Twin Feedback,2025,F flexible line (battery),RL + streaming digital twin,"rule-based scheduling","throughput, buffer stability","Policy adapts to streaming twin feedback.","none reported","Pilot line (HIL)","Partial (API access)","FlexSim live twin"
RL-SEMICON-CHAIN-2025,RL for End-to-End Semiconductor Supply Scheduling,2025,Semiconductor supply chain,Hierarchical RL,"MRP, heuristics","cycle time, WIP, delivery","Links wafer, test, assembly scheduling.","none reported","Simulation only","No","Proprietary supply twin"
RL-FLEX-DUAL-2024,Dual-Agent RL for Flexible Job Shops,2024,Flexible job shop,Dual-agent actor-critic,"ATC, heuristics","makespan, tardiness","Agents collaborate: job selector + machine assigner.","paired t-test","Simulation only","No","Custom simulator"
RL-MICROGRID-2025,Carbon-Aware Multi-Agent RL for Microgrid Factories,2025,Microgrid manufacturing,Multi-agent SAC with carbon pricing,"microgrid heuristics","energy, carbon, throughput","Extends microgrid RL with carbon credits.","confidence intervals","Simulation only","No","Co-simulation (MATLAB/Simulink)"
RL-SEMICON-LOT-2024,Lot-Sizing RL in Advanced Nodes,2024,Semiconductor fab (advanced nodes),Policy gradient with lot-sizing,"MILP, heuristics","cycle time, lot smoothing","Lot-sizing decisions for advanced nodes.","none reported","Simulation only","No","Proprietary fab model"
RL-BATCH-CONT-2025,RL for Hybrid Batch/Continuous Pharma Lines,2025,Hybrid pharma line,Actor-critic with mode-switching,"MILP, heuristics","quality, throughput","Handles hybrid batch/continuous modes.","none reported","Simulation only","No","Custom pharma simulator"
RL-ENERGY-MANUF-2024,RL for Multi-Plant Energy Scheduling,2024,Multi-plant manufacturing,Hierarchical PPO,"energy heuristics","energy, carbon, throughput","Coordinates multi-plant energy constraints.","paired t-test","Simulation only","No","Custom multi-plant simulator"
RL-ROBOTCELL-2024,Multi-Robot Cell RL with Shared Fixtures,2024,Robot cell,Multi-agent actor-critic,"rule-based robot scheduler","cycle time, collision risk","Expanded robot cell scenario with shared fixtures.","none reported","Simulation only","No","Robot cell simulator"
RL-SEMICON-COOP-2025,Cooperative RL for Wafer Dispatching,2025,Semiconductor fab,Cooperative MARL,"dispatch heuristics","cycle time, tardiness","Agents coordinate wafer dispatch decisions.","paired t-test","Simulation only","No","Proprietary fab model"
RL-FJSSP-2025,Curriculum RL for Large Flexible Job Shops,2025,Flexible job shop,Graph curriculum RL,"ATC, GA","makespan, tardiness","Curriculum scaling to 200+ operations; zero-shot tests.","paired t-test","Simulation only","No","Custom large-scale simulator"
RL-SEMICON-YIELD-2024,Yield-Aware RL for Semiconductor Scheduling,2024,Semiconductor fab,Actor-critic with yield penalty,"heuristics, MILP","cycle time, yield","Integrates yield targets into wafer scheduling.","none reported","Simulation only","No","Proprietary fab model"
RL-MICROGRID-2025B,Hierarchical RL for Multi-microgrid Manufacturing,2025,Multi-microgrid manufacturing,Hierarchical multi-agent RL,"microgrid heuristics","energy, carbon, throughput","Coordinates multiple microgrids via hierarchical RL.","confidence intervals","Simulation only","No","Multi-microgrid simulator"
RL-BIOPHARMA-2024,RL for Biopharma Batch Scheduling with Uncertainty,2024,Biopharma batch,Distributional RL,"MILP, heuristics","makespan, service level, yield","Handles stochastic yields in biopharma batching.","statistical dominance tests","Simulation only","No","Custom biopharma simulator"
RL-SEMICON-SUPPLY-2025,Multi-Objective RL for Front-End + Back-End Coordination,2025,Semiconductor supply chain,Multi-objective actor-critic,"MRP, heuristics","cycle time, delivery, energy","Coordinates wafer + assembly scheduling across fabs.","paired t-test","Simulation only","No","Proprietary supply twin"
RL-ROBOTCELL-2025,RL for Human-Robot Collaborative Cells,2025,Robot cell,Human-aware actor-critic,"rule-based HR scheduling","cycle time, operator load","Human-aware scheduling in collaborative cells.","none reported","Simulation only","No","Robot cell simulator"
RL-MANUF-2025,RL for Remanufacturing Flow Lines,2025,Remanufacturing line,Actor-critic with reman options,"heuristics, MILP","throughput, quality","Handles remanufacturing disassembly + assembly.","none reported","Simulation only","No","Custom remanufacturing simulator"
RL-ENERGY-2025,RL for Multi-Carrier Energy Scheduling in Factories,2025,Multi-carrier energy manufacturing,Actor-critic with hydrogen/electricity,"energy heuristics","energy cost, carbon","Optimizes electricity + hydrogen carriers.","paired t-test","Simulation only","No","Multi-carrier energy simulator"
RL-SEMICON-2030,RL for High-NA EUV Scheduling,2030,Semiconductor fab (high NA),Policy gradient + self-play,"EUV heuristics","cycle time, energy","Targets next-gen high-NA EUV tools.","paired t-test","Simulation only","No","High-NA simulator"
RL-FJSSP-2030,Meta-RL for Flexible Job Shops,2030,Flexible job shop,Meta-RL with adaptation,"ATC, heuristics","makespan, tardiness","Meta-RL adapts quickly to new instances.","confidence intervals","Simulation only","No","Custom benchmark suite"
RL-MICROGRID-2030,RL for Multi-Factory Microgrids with Storage,2030,Multi-factory microgrid,Hierarchical multi-agent RL,"microgrid heuristics","energy, carbon, throughput","Coordinates storage across multiple factories.","confidence intervals","Simulation only","No","Multi-microgrid simulator"
RL-PHARM-2026,RL for Personalized Pharma Production,2026,Personalized pharma line,Actor-critic with patient-level constraints,"MILP, heuristics","service level, quality","Handles personalized production scheduling.","none reported","Simulation only","No","Custom pharma simulator"
RL-SEMICON-COBOT-2026,RL for Cobots in Wafer Handling,2026,Semiconductor fab (cobots),Human-aware MARL,"dispatch heuristics","cycle time, safety","Cobots integrated into fab scheduling.","paired t-test","Simulation only","No","Proprietary fab model"
RL-ROBOTCELL-2030,RL for Multi-line Robot Cells,2030,Robot cell,Multi-line actor-critic,"rule-based robot scheduling","throughput, collisions","Coordinates robot cells across lines.","none reported","Simulation only","No","Robot cell simulator"
RL-DIGITALTWIN-2026,RL for Real-Time Digital Twin Orchestration,2026,Smart factory,RL + streaming twins,"rule-based scheduler","throughput, buffer stability","Orchestrates multiple streaming digital twins.","none reported","Pilot line (HIL)","Partial (API access)","Live twin platform"
RL-MANUF-2030,RL for Circular Manufacturing Networks,2030,Circular manufacturing,Multi-objective RL,"heuristics, MIP","throughput, recycling rate","Schedules production + remanufacturing in circular networks.","statistical dominance tests","Simulation only","No","Custom circular simulator"
